index_code,date,tri_close,price_close,div_yield_nominal_pct,div_yield_redrocket_did_pct,div_yield_redrocket_percentile_pct,div_yield_equal_pct,div_yield_ttm_pct,div_yield_ttm_equal_pct
930955,2018-02-13,12953.9100,9497.6400,2.9712,2.9712,5.0400,,,
930955,2018-02-14,12947.5100,9492.9500,2.9632,2.9632,4.9900,,,
930955,2018-02-22,13174.0400,9659.0400,2.9028,2.9028,3.7500,,,
930955,2018-02-23,13211.7200,9686.6700,2.8861,2.8861,3.1600,,,
930955,2018-02-26,13348.3800,9786.8600,2.8691,2.8691,2.4300,,,
930955,2018-02-27,13227.1700,9698.0000,2.9198,2.9198,4.0300,,,
930955,2018-02-28,13148.0500,9639.9800,2.9616,2.9616,4.8600,,,
930955,2018-03-01,13200.4800,9678.4300,2.9557,2.9557,4.6300,,,
930955,2018-03-02,13173.6700,9658.7700,2.9714,2.9714,5.0800,,,
930955,2018-03-05,13168.9700,9655.3200,2.9756,2.9756,5.3100,,,
930955,2018-03-06,13315.3400,9762.6400,2.9593,2.9593,4.7600,,,
930955,2018-03-07,13275.4700,9733.4100,2.9621,2.9621,4.9000,,,
930955,2018-03-08,13348.0600,9786.6300,2.9627,2.9627,4.9500,,,
930955,2018-03-09,13411.8100,9833.3700,2.9583,2.9583,4.7200,,,
930955,2018-03-12,13476.2500,9880.6200,3.2676,3.2676,9.0700,,,
930955,2018-03-13,13400.6600,9825.2000,3.2670,3.2670,9.0300,,,
930955,2018-03-14,13312.4600,9760.5200,3.2892,3.2892,9.2600,,,
930955,2018-03-15,13284.0300,9739.6900,3.2839,3.2839,9.2100,,,
930955,2018-03-16,13241.0000,9708.1300,3.3150,3.3150,9.3900,,,
930955,2018-03-19,13240.4000,9707.6900,3.3029,3.3029,9.3500,,,
930955,2018-03-20,13269.8300,9729.2700,3.2752,3.2752,9.1200,,,
930955,2018-03-21,13232.8500,9702.1600,3.2827,3.2827,9.1700,,,
930955,2018-03-22,13188.3200,9669.5100,3.2959,3.2959,9.3000,,,
930955,2018-03-23,12714.3400,9321.9900,3.3782,3.3782,9.5300,,,
930955,2018-03-26,12727.8800,9331.9200,3.4459,3.4459,10.4900,,,
930955,2018-03-27,12855.3800,9425.4000,3.4363,3.4363,10.3100,,,
930955,2018-03-28,12753.7800,9350.9100,3.4574,3.4574,10.7200,,,
930955,2018-03-29,12882.8000,9445.5100,3.4101,3.4101,9.8100,,,
930955,2018-03-30,12906.1500,9462.6300,3.4266,3.4266,10.1300,,,
930955,2018-04-02,12885.5500,9447.5200,3.4557,3.4557,10.5400,,,
930955,2018-04-03,12770.4900,9363.1700,3.4811,3.4811,11.0000,,,
930955,2018-04-04,12733.5500,9336.0800,3.4908,3.4908,11.2300,,,
930955,2018-04-09,12710.7400,9319.3500,3.4815,3.4815,11.0400,,,
930955,2018-04-10,12867.2300,9434.0900,3.4009,3.4009,9.6700,,,
930955,2018-04-11,12926.4500,9477.5100,3.3695,3.3695,9.4900,,,
930955,2018-04-12,12835.8700,9411.1000,3.4133,3.4133,9.9900,,,
930955,2018-04-13,12775.8900,9367.1200,3.4404,3.4404,10.4000,,,
930955,2018-04-16,12608.4300,9244.3400,3.5166,3.5166,11.5500,,,
930955,2018-04-17,12491.4200,9158.5500,3.5377,3.5377,11.6400,,,
930955,2018-04-18,12573.3300,9218.6100,3.5005,3.5005,11.3700,,,
