fund_code,index_code,date,nav_unit,nav_accum,daily_return_pct,div_yield_fund_ttm_pct,div_yield_index_did_pct
007751,931157,2025-02-27,1.2250,1.4920,0.3700,7.2653,5.9343
007751,931157,2025-02-28,1.2151,1.4821,-0.8100,7.3245,5.9843
007751,931157,2025-03-03,1.2175,1.4845,0.2000,7.3101,5.9723
007751,931157,2025-03-04,1.2180,1.4850,0.0400,7.3071,5.9976
007751,931157,2025-03-05,1.2302,1.4972,1.0000,7.2346,5.9247
007751,931157,2025-03-06,1.2300,1.4970,-0.0200,7.2358,5.9003
007751,931157,2025-03-07,1.2299,1.4969,-0.0100,7.2364,5.9032
007751,931157,2025-03-10,1.2280,1.4950,-0.1500,7.2476,5.9470
007751,931157,2025-03-11,1.2345,1.5015,0.5300,7.2094,5.9247
007751,931157,2025-03-12,1.2353,1.5023,0.0600,7.2047,5.9440
007751,931157,2025-03-13,1.2401,1.5071,0.3900,7.1768,5.9067
007751,931157,2025-03-14,1.2513,1.5183,0.9000,7.1126,5.8197
007751,931157,2025-03-17,1.2547,1.5217,0.2700,7.0933,5.8169
007751,931157,2025-03-18,1.2576,1.5246,0.2300,7.0770,5.7908
007751,931157,2025-03-19,1.2600,1.5270,0.1900,7.0635,5.7892
007751,931157,2025-03-20,1.2564,1.5234,-0.2900,7.0837,5.8134
007751,931157,2025-03-21,1.2499,1.5169,-0.5200,7.1206,5.8542
007751,931157,2025-03-24,1.2591,1.5261,0.7400,7.0685,5.8023
007751,931157,2025-03-25,1.2619,1.5289,0.2200,7.0529,5.7949
007751,931157,2025-03-26,1.2591,1.5261,-0.2200,7.0685,5.8052
007751,931157,2025-03-27,1.2569,1.5239,-0.1700,7.0809,5.8072
007751,931157,2025-03-28,1.2532,1.5202,-0.2900,7.1018,5.8386
007751,931157,2025-03-31,1.2500,1.5170,-0.2600,7.1200,5.8037
007751,931157,2025-04-01,1.2580,1.5250,0.6400,7.0747,5.7853
007751,931157,2025-04-02,1.2651,1.5321,0.5600,7.0350,5.7771
007751,931157,2025-04-03,1.2641,1.5311,-0.0800,7.0406,5.7761
007751,931157,2025-04-07,1.1586,1.4497,-6.4400,9.7618,6.1844
007751,931157,2025-04-08,1.1760,1.4671,1.5000,9.6173,6.0524
007751,931157,2025-04-09,1.1823,1.4734,0.5400,8.3820,6.0485
007751,931157,2025-04-10,1.1921,1.4832,0.8300,8.3131,6.0071
